year,state,candidate,winner,Percent of Vote,type
2012,Washington,Michael Baumgartner ,False,60.5,1
2012,West Virginia,Joe Manchin ,True,60.6,3
2012,West Virginia,John Raese ,False,60.6,3
2012,Wisconsin,Tammy Baldwin ,True,51.4,0
2012,Wisconsin,Tommy Thompson ,False,51.4,0
2012,Wyoming,John Barrasso ,True,75.7,3
2012,Wyoming,Tim Chesnut ,False,75.7,3
2014,Alabama,Jeff Sessions,True,97.25,3
2014,Alabama,,False,97.25,3
2014,Alaska,Dan Sullivan,True,48.0,3
2014,Alaska,Mark Begich ,False,48.0,3
2014,Arkansas,Tom Cotton ,True,56.5,3
2014,Arkansas,Mark Pryor ,False,56.5,3
2014,Colorado,Cory Gardner ,True,48.2,3
2014,Colorado,Mark Udall ,False,48.2,3
2014,Delaware,Chris Coons ,True,55.8,3
2014,Delaware,Kevin Wade ,False,55.8,3
2014,Georgia,David Perdue ,True,52.9,2
2014,Georgia,Michelle Nunn ,False,52.9,2
2014,Idaho,Jim Risch ,True,65.3,3
2014,Idaho,Nels Mitchell ,False,65.3,3
2014,Illinois,Dick Durbin ,True,53.5,3
2014,Illinois,Jim Oberweis ,False,53.5,3
2014,Iowa,Joni Ernst ,True,52.1,1
2014,Iowa,Bruce Braley ,False,52.1,1
2014,Kansas,Pat Roberts ,True,53.1,3
2014,Kansas,Greg Orman ,False,53.1,3
2014,Kentucky,Mitch McConnell ,True,56.1,2
2014,Kentucky,Alison Lundergan Grimes ,False,56.1,2
2014,Louisiana,Bill Cassidy ,True,55.9,2
2014,Louisiana,Mary Landrieu ,False,55.9,2
2014,Maine,Susan Collins ,True,68.5,0
2014,Maine,Shenna Bellows ,False,68.5,0
2014,Massachusetts,Ed Markey ,True,62.0,3
2014,Massachusetts,Brian Herr ,False,62.0,3
2014,Michigan,Gary Peters ,True,54.6,2
2014,Michigan,Terri Lynn Land ,False,54.6,2
2014,Minnesota,Al Franken ,True,53.2,3
2014,Minnesota,Mike McFadden ,False,53.2,3
2014,Mississippi,Thad Cochran ,True,59.9,3
2014,Mississippi,Travis Childers ,False,59.9,3
2014,Montana,Steve Daines ,True,57.8,2
2014,Montana,Amanda Curtis ,False,57.8,2
2014,Nebraska,Ben Sasse ,True,64.4,3
2014,Nebraska,David Domina ,False,64.4,3
2014,New Hampshire,Jeanne Shaheen ,True,51.5,1
2014,New Hampshire,Scott Brown ,False,51.5,1
2014,New Jersey,Cory Booker ,True,55.8,3
2014,New Jersey,Jeff Bell ,False,55.8,3
2014,New Mexico,Tom Udall ,True,55.6,3
2014,New Mexico,Allen Weh ,False,55.6,3
2014,North Carolina,Thom Tillis ,True,48.8,2
2014,North Carolina,Kay Hagan ,False,48.8,2
2014,Oklahoma,Jim Inhofe ,True,68.0,3
2014,Oklahoma,Matt Silverstein ,False,68.0,3
2014,Oregon,Jeff Merkley ,True,55.7,2
2014,Oregon,Monica Wehby ,False,55.7,2
2014,Rhode Island,Jack Reed ,True,70.6,3
2014,Rhode Island,Mark Zaccaria ,False,70.6,3
2014,South Carolina,Lindsey Graham ,True,54.3,3
2014,South Carolina,Brad Hutto ,False,54.3,3
2014,South Dakota,Mike Rounds ,True,50.4,3
2014,South Dakota,Rick Weiland ,False,50.4,3
2014,Tennessee,Lamar Alexander ,True,61.9,3
2014,Tennessee,Martin Pleasant ,False,61.9,3
2014,Texas,John Cornyn ,True,61.6,3
2014,Texas,Gordon Ball ,False,61.6,3
2014,Virginia,Mark Warner ,True,49.1,3
2014,Virginia,Ed Gillespie ,False,49.1,3
2014,West Virginia,Shelley Moore Capito ,True,62.1,0
2014,West Virginia,Natalie Tennant ,False,62.1,0
2014,Wyoming,Mike Enzi ,True,71.2,3
2014,Wyoming,Charlie Hardy ,False,71.2,3
